voltage,current,temperature,time,battery_type,power,voltage_drop_rate,temp_change_rate,current_spike,soc,soh,risk
13.4328,2.0299,24.9563,110.55,Lead-acid,27.2673,0.003002,0.11758,1.108,83.9813,80.6187,Low
11.1014,6.3496,56.288,397.58,NiMH,70.4892,0.029154,0.21001,4.6406,50.0445,25.3744,High
13.3177,5.369,44.1819,213.96,Lead-acid,71.5025,0.030246,0.3149,1.8353,38.5265,55.4624,Medium
11.9481,4.8554,41.0369,151.47,Li-ion,58.0128,0.029586,0.08013,1.2567,52.3853,59.3055,Medium
12.1385,7.9703,56.3663,392.6,NiMH,96.7477,0.033002,0.45202,3.7385,35.2365,31.1371,High
14,1.486,35.4798,145.79,Li-ion,20.8037,0.003382,0.13827,0.8149,87.1913,67.4362,Low
12.2209,2.6091,28.8607,85.71,Li-ion,31.8861,0.01244,0.04968,0,77.3523,76.8363,Low
11.9113,8.4022,48.321,425.32,NiMH,100.0807,0.030682,0.02998,3.0449,49.3498,40.7883,High
10.3113,7.4641,46.2204,401.84,Lead-acid,76.9647,0.038583,0.01974,4.3024,26.2327,49.8883,High
12.7097,0.7823,21.3522,146.09,Lead-acid,9.943,0.006055,0.1532,0.5795,83.644,87.0494,Low
13.2828,2.3954,31.8132,166.5,Lead-acid,31.8176,0.010918,0.21956,1.1974,75.3634,75.8963,Medium
10.6632,7.8729,53.3906,379.43,NiMH,83.9502,0.030878,0.05591,4.3798,42.2788,29.8404,High
11.0677,4.9189,38.5817,163.87,Lead-acid,54.4411,0.019896,0.10376,1.3594,62.2791,75.9969,Medium
13.0277,2.9758,40.3616,243.98,NiMH,38.768,0.026893,0.23285,1.1867,55.2963,59.5413,Medium
12.8537,3.2944,42.3606,260.62,Li-ion,42.3451,0.021728,0.07689,1.4827,48.8937,52.6583,Medium
13.5849,2.3107,22.48,169.96,NiMH,31.3907,0.013725,0.07852,0.5653,71.4788,77.1936,Low
12.0722,2.4475,35.4266,344.42,NiMH,29.5463,0.020032,0.2578,1.0092,63.0205,53.5231,Medium
11.9966,6.6212,48.5089,315.33,Li-ion,79.4316,0.0105,0.16572,2.6193,74.1782,38.8088,Medium
11.5944,6.4979,41.3533,156.14,Lead-acid,75.3399,0.019494,0.26612,1.6567,59.7731,71.3996,Medium
10.5291,8.9265,46.166,359.16,NiMH,93.9881,0.026309,0.28243,3.4135,47.5876,37.1126,Medium
11.7763,7.3102,49.4532,445.26,Lead-acid,86.0867,0.044532,0.32613,4.7059,9.412,39.7866,High
10.1785,5.733,52.0745,379.34,Lead-acid,58.3533,0.041527,0.07222,5,10.2073,37.9683,High
12.9563,3.9803,47.6863,329.39,Li-ion,51.5707,0.02175,0.31602,1.3826,54.4881,46.5083,Medium
10.1722,7.8678,53.0926,326.0,Lead-acid,80.0327,0.033657,0.1963,3.9232,29.6252,39.7216,High
12.1457,3.3331,20.4267,176.46,NiMH,40.4833,0.005259,0.08018,0.4674,88.2826,79.7647,Low
11.5559,5.9855,42.1485,265.64,Li-ion,69.1678,0.023284,0.22693,1.961,50.9835,52.679,Medium
13.6951,1.4081,30.4445,25.79,Lead-acid,19.2846,0.008167,0.11939,0.306,70.2595,90.1155,Low
11.2038,6.1962,57.0997,410.7,Lead-acid,69.4212,0.040451,0.32801,4.1647,15.6237,38.7518,High
13.0659,2.6287,29.2429,123.86,Li-ion,34.3467,0.012499,0.09575,0.4779,76.8172,74.8903,Medium
12.4485,3.5185,25.394,34.15,NiMH,43.8003,0.015562,0.10859,0.1019,54.501,93.3222,Low
13.4487,1.1769,37.7001,66.75,NiMH,15.8277,0.010746,0.10709,0.6282,78.538,68.7364,Medium
10.5006,9.1557,56.0415,385.04,Li-ion,96.1408,0.05,0.29995,3.5368,15.6968,31.1856,High
12.4662,1.2542,27.9922,75.55,Li-ion,15.6346,0.014927,0.14155,0.4422,66.7557,79.1188,Low
11.2249,8.0955,54.3543,413.89,Lead-acid,90.8717,0.02717,0.27633,1.9966,55.6864,33.1449,Medium
14,2.6834,26.0253,111.12,Li-ion,37.5672,0.009593,0.05827,0.3269,82.037,84.5185,Medium
13.2218,3.1301,35.2081,92.02,Li-ion,41.3861,0.002688,0.07016,0.3594,91.8264,74.4807,Low
13.3549,1.274,28.6834,144.17,Li-ion,17.014,0.010066,0.09743,0.281,81.1831,67.5346,Medium
12.1138,4.9924,35.2365,265.18,Li-ion,60.4769,0.01459,0.0821,1.0772,71.7216,64.9692,Medium
10.732,4.7927,43.578,304.98,Lead-acid,51.4351,0.031882,0.25807,2.1903,29.8431,53.1652,Medium
12.9737,1.2377,21.7838,148.4,NiMH,16.0578,0.002645,0.12707,0.3942,84.0795,76.2682,Low
11.5104,3.1584,37.3546,331.03,NiMH,36.3544,0.028262,0.09404,2.0144,48.2116,49.5884,Medium
11.6765,3.8132,35.7148,220.57,Lead-acid,44.5251,0.027932,0.06876,2.9933,41.9836,63.2078,Medium
11.8575,6.8141,48.2064,486.64,Li-ion,80.7975,0.039879,0.20214,1.8031,23.3565,37.3948,High
14,1.4882,26.8406,94.07,NiMH,20.8348,0.013587,0.2497,1.2366,65.4456,84.4903,Low
11.3434,3.4465,45.61,188.33,Lead-acid,39.095,0.02839,0.28789,2.3395,32.2218,67.344,Medium
11.7107,7.3308,46.5932,439.75,Lead-acid,85.8483,0.029976,0.01,3.1099,36.1068,44.7249,High
11.705,7.669,52.6047,500,Lead-acid,89.7652,0.032448,0.34492,3.2583,21.8794,26.1513,High
11.3564,7.2505,51.9118,454.18,NiMH,82.3396,0.045748,0.23162,4.875,18.4495,26.874,High
12.0749,6.3841,53.2026,483.73,Lead-acid,77.087,0.046647,0.01,4.1721,8.3491,27.4246,High
11.2826,4.0748,47.9226,284.02,Lead-acid,45.9747,0.02385,0.099,1.7677,51.7239,45.1746,Medium
13.8922,2.5555,24.9719,27.69,Lead-acid,35.5017,0.014636,0.01,0.1925,67.2119,85.6319,Low
12.8802,1.2464,27.3886,56.79,Li-ion,16.0538,0.013917,0.11245,0.1996,72.0958,77.6401,Low
12.6305,5.1269,44.1183,325.43,NiMH,64.7558,0.018953,0.29333,0.9099,57.2001,49.3841,Medium
12.5299,3.1684,35.9953,222.14,Lead-acid,39.6993,0.017012,0.2391,1.7256,78.4023,65.4609,Medium
11.4919,5.7091,43.4673,262.52,Li-ion,65.6085,0.015903,0.28697,1.5096,61.4219,53.1093,Medium
10,8.6202,43.7253,352.51,Li-ion,86.2021,0.042969,0.25109,3.1225,20.1288,45.2838,High
10.2329,9.1054,53.2546,426.58,Lead-acid,93.175,0.045158,0.0458,3.7505,12.4956,34.712,High
10.8587,7.9173,44.2033,355.88,Lead-acid,85.972,0.027954,0.32557,3.9016,40.1228,48.2565,High
11.1842,5.0082,43.7734,173.75,Lead-acid,56.0123,0.024857,0.02072,2.189,53.6151,52.6903,Medium
11.0003,6.7732,51.7153,459.55,Li-ion,74.5066,0.038684,0.0179,3.4989,28.7195,29.3075,High
10.8403,8.7943,53.5738,323.58,Lead-acid,95.3321,0.043778,0.25542,4.3532,2.7189,39.9599,High
12.3158,1.0322,28.1668,151.03,Lead-acid,12.7121,0.00988,0.02709,0.4735,83.3355,69.2878,Low
13.9093,2.7407,25.2118,143.1,Li-ion,38.1213,0.001816,0.10086,0,88.7517,80.2038,Low
11.928,6.2593,37.696,164.64,Lead-acid,74.6609,0.020191,0.01,1.9454,63.6889,61.9895,Medium
11.063,6.8752,45.8215,349.96,NiMH,76.0607,0.0368,0.15566,4.1067,31.7347,37.9528,High
10.4641,8.3172,56.2931,348.53,Li-ion,87.0325,0.038396,0.30531,2.7558,25.3759,21.9678,High
11.0941,8.915,54.0888,331.66,Lead-acid,98.9035,0.045875,0.4355,3.5944,0.7763,37.9639,High
10.806,7.342,50.9738,384.64,NiMH,79.3381,0.036539,0.44075,3.3698,44.3862,33.2826,High
12.7134,5.7827,40.1207,233.36,Li-ion,73.5183,0.017149,0.07619,2.8958,66.6742,57.2063,Medium
12.7413,5.3725,34.3799,318.34,Lead-acid,68.4529,0.022604,0.04907,1.6428,59.3408,54.2167,Medium
10.2529,8.0538,51.987,368.55,Lead-acid,82.5746,0.044739,0.07889,4.3867,5.2088,43.0486,High
11.7397,8.88,59.5903,378.06,NiMH,104.2485,0.035425,0.27266,3.0276,30.6533,21.2187,High
13.2098,1.743,20.718,188.4,Lead-acid,23.0245,0.013153,0.09646,0.7035,62.156,80.7916,Medium
12.56,2.8421,35.1444,144.19,Lead-acid,35.6967,0.013306,0.1586,0.1541,69.8873,71.906,Low
10.2713,9.1636,50.007,291.26,NiMH,94.1228,0.040381,0.10599,4.0116,23.5707,43.6618,High
12.4101,3.752,34.9545,207.5,Lead-acid,46.5633,0.017924,0.11356,1.2779,52.5085,77.7996,Medium
13.8101,1.1995,29.1074,123.12,NiMH,16.5659,0.007369,0.01,0.3479,80.5292,76.6529,Low
11.2003,4.1376,51.4279,141.19,Li-ion,46.342,0.016601,0.26678,2.6688,59.193,54.2439,Medium
10.8412,7.3189,53.0327,339.92,Li-ion,79.3458,0.035645,0.16265,2.9311,35.9483,27.7262,High
10.5438,7.4358,55.5003,317.99,Li-ion,78.4021,0.034283,0.32877,4.78,38.0624,32.9286,High
10.5179,7.4113,50.4239,430.94,NiMH,77.9509,0.046467,0.09689,4.8034,17.0652,35.6149,High
12.3962,3.4697,41.1376,326.2,Li-ion,43.0107,0.02097,0.31372,0.4386,59.6824,44.4831,Medium
11.3152,8.7142,48.8396,338.82,NiMH,98.6029,0.048667,0.19536,5,13.7558,40.7788,Medium
11.631,8.0793,55.3565,469.21,NiMH,93.9703,0.031304,0.40313,1.8628,35.2928,20.3428,High
11.1172,6.6951,45.2634,387.57,NiMH,74.4312,0.039516,0.03261,3.5804,25.2635,46.9805,High
11.1324,7.6908,54.8282,453.6,NiMH,85.6167,0.038013,0.4551,4.1954,30.1895,28.8733,High
12.7573,2.659,22.0352,43.75,Lead-acid,33.922,0.00922,0.01,0.41,80.9689,96.2234,Low
11.8934,9.9966,57.7524,500,Lead-acid,118.894,0.038728,0.24949,2.7265,12.0718,33.3352,High
13.4741,3.0143,25.5325,28.5,NiMH,40.6153,0.005853,0.05099,0.2062,81.9847,87.1463,Low
13.6739,0.5,24.8615,55.29,Lead-acid,6.8369,0.003961,0.0494,0.9303,89.2365,88.435,Low
11.4023,5.2776,45.99,449.23,NiMH,60.1764,0.031928,0.22455,2.7842,54.6422,42.4146,Medium
11.5394,5.4512,34.3783,212.59,Li-ion,62.9037,0.023476,0.27818,2.421,59.1329,62.9569,Medium
12.4486,5.7889,38.082,256.65,Lead-acid,72.0635,0.026362,0.27235,2.3073,48.0396,65.9112,High
14,2.7848,29.0982,56.53,Lead-acid,38.9868,0.00873,0.21095,0.0549,70.5463,83.6913,Medium
11.5485,9.8273,60,398.93,Lead-acid,113.4911,0.049394,0.0556,3.5398,4.38,38.5166,High
11.9558,8.9571,59.8504,483.64,Li-ion,107.0894,0.027015,0.21562,4.4415,55.2233,26.6504,High
10.5645,7.3587,51.4557,436.1,Lead-acid,77.741,0.047834,0.4243,4.4928,0,40.0558,High
12.0882,8.9048,56.8135,419.04,Li-ion,107.6425,0.036711,0.17757,2.2173,30.9055,27.6079,Medium
12.2479,6.2908,41.4931,225.03,NiMH,77.0491,0.029897,0.28128,1.2328,46.7738,55.0588,Medium
13.2476,2.2061,36.4187,67.35,NiMH,29.225,0.014607,0.27661,1.0269,69.3426,71.3212,Medium
11.4508,4.1802,41.4771,356.25,NiMH,47.8661,0.014099,0.19093,1.3459,77.1395,43.4073,Medium
12.559,5.7745,38.3286,259.94,Lead-acid,72.5227,0.021963,0.29091,1.3948,46.4681,55.5017,Medium
12.3459,5.7902,45.6594,288.66,NiMH,71.4854,0.028565,0.12002,1.6414,42.0427,39.6472,High
10.0615,7.6299,57.4597,467.88,Li-ion,76.7682,0.05,0.28336,2.0805,10.1187,18.2176,High
13.123,2.5793,33.1444,122.28,NiMH,33.8476,0.010382,0.17507,1.0341,76.4673,75.9951,Medium
11.7273,2.8141,39.8598,185.11,Li-ion,33.0018,0.025824,0.23773,2.2247,50.357,53.3033,Medium
11.7366,2.4398,42.6331,172.62,Li-ion,28.6345,0.023561,0.19049,1.6109,53.3609,49.4847,Medium
13.5021,3.3045,25.1805,69.64,Li-ion,44.6172,0.012664,0.01,0.6517,64.2236,83.304,Low
13.8423,1.8684,21.9819,67.44,NiMH,25.8635,0.008273,0.06601,0.0061,84.7701,85.5894,Low
10.2108,7.6451,52.505,389.31,Lead-acid,78.0633,0.042151,0.07625,3.3828,18.943,38.9125,High
13.5378,3.1547,20,137.22,NiMH,42.7083,0.013717,0.0653,0.469,74.9001,91.3334,Medium
11.6676,5.0098,40.9368,259.85,Li-ion,58.4523,0.019735,0.28677,3.2505,66.602,62.9447,Medium
11.5788,7.1284,52.9561,500,Li-ion,82.5385,0.043925,0.45781,2.9919,31.3238,22.3278,High
12.8372,0.5,27.8855,94.79,Li-ion,6.4186,0.011569,0.01,0.2474,69.1252,78.0274,Low
12.4392,0.6914,32.1939,95.64,NiMH,8.6002,0.008406,0.11809,0,87.4562,65.5467,Low
11.377,5.6107,37.8178,243.53,Li-ion,63.8329,0.024695,0.04781,2.2012,51.2361,61.7372,Medium
11.518,6.4536,54.4043,349.59,Lead-acid,74.3326,0.044396,0.33496,2.7325,16.2431,44.1855,High
13.6464,0.5,31.1354,115.34,Lead-acid,6.8232,0.008357,0.0613,0.3719,80.0963,81.4973,Low
11.3742,5.2565,42.0392,307.29,Lead-acid,59.7886,0.015358,0.24286,1.6058,70.5707,56.0614,Medium
12.3862,2.5467,27.5739,167.6,Li-ion,31.5436,0.00612,0.0197,1.0877,84.9389,77.0933,Medium
13.6801,0.5151,33.6292,100.47,NiMH,7.0466,0.004632,0.20773,0.7088,79.0552,65.1568,Low
11.4384,4.3967,41.5128,232.03,NiMH,50.2909,0.024597,0.19024,1.56,62.1705,56.4545,Medium
12.7435,6.4357,47.5295,158.51,Lead-acid,82.0134,0.024199,0.2357,0.897,36.5213,62.2423,Medium
12.7432,4.9906,41.0621,208.76,Lead-acid,63.5963,0.021746,0.14368,1.7603,44.4392,62.2302,Medium
12.4106,2.8341,30.913,29.36,NiMH,35.1734,0.004363,0.16068,0.2075,81.4012,78.6693,Low
12.5405,2.037,30.2705,118.35,NiMH,25.5454,0.008667,0.13868,1.1731,90.3692,74.7668,Low
12.7415,6.6053,42.2674,179.8,Lead-acid,84.1616,0.026734,0.21832,2.206,46.9347,53.5629,Medium
11.5743,8.5405,51.9083,499.45,NiMH,98.8504,0.039804,0.24021,3.591,26.0733,27.5459,High
12.7487,5.867,45.302,238.09,Li-ion,74.7961,0.0245,0.10235,1.1128,46.7267,52.6376,Medium
11.2074,6.4863,60,399.14,Lead-acid,72.6948,0.033562,0.38139,4.9096,41.8797,34.1497,High
12.4314,7.8215,49.2366,430.79,NiMH,97.2326,0.034222,0.29485,2.6747,31.9904,29.2538,High
11.225,9.798,55.9138,500,Li-ion,109.9826,0.031053,0.26882,3.416,40.6992,22.6827,High
11.7459,6.7913,58.8826,457.83,NiMH,79.7702,0.048055,0.23637,3.324,15.0259,18.3481,High
11.8326,8.2584,48.8336,424.17,NiMH,97.7184,0.04621,0.38272,4.4553,13.9618,36.4642,High
10.8509,8.7309,54.2661,429.65,Li-ion,94.7379,0.038069,0.26645,3.8972,24.1531,31.4039,High
13.114,5.3623,38.9304,341.44,Lead-acid,70.3206,0.020616,0.257,0.8303,46.5437,54.4194,High
10.4085,8.4261,58.1385,376.18,NiMH,87.7028,0.05,0.1066,2.671,0,27.9258,High
12.4567,3.7713,38.499,227.92,NiMH,46.9783,0.023656,0.19203,1.8989,60.3517,58.9946,Low
12.6615,1.3827,29.1931,111.54,NiMH,17.5076,0.004002,0.2118,0.9999,85.6798,81.5046,Low
13.1231,3.2263,30.8626,72.99,NiMH,42.3392,0.009947,0.1998,0.3688,76.487,82.4766,Low
10.856,7.8399,46.156,408.43,NiMH,85.1108,0.031748,0.02776,4.2915,45.0419,31.9548,High
12.4316,1.9647,34.6394,114.79,Li-ion,24.4248,0.01039,0.22472,1.0552,72.7567,66.307,Medium
12.4038,3.7747,36.6742,208.63,NiMH,46.821,0.016226,0.12545,1.8932,72.5257,59.8513,Medium
13.1396,2.5389,30.6692,157.16,NiMH,33.3605,0.014818,0.20636,0.3464,61.7112,68.1217,Medium
12.4508,6.7572,33.8894,181.25,NiMH,84.1324,0.022276,0.01,2.145,53.7289,63.5597,Medium
11.7602,5.6452,55.0118,364.99,Li-ion,66.3888,0.029395,0.39604,4.4528,35.636,31.0794,High
10.266,8.6355,48.8862,381.45,NiMH,88.6518,0.034813,0.08141,4.4355,34.2694,36.9396,High
11.894,5.3304,44.4224,212.11,Lead-acid,63.4,0.019291,0.10293,2.2348,62.474,52.7805,Medium
11.4277,7.4066,43.8963,359.25,Li-ion,84.6397,0.045435,0.23446,3.867,21.1074,42.4,High
11.698,9.4049,50.6807,455.29,NiMH,110.0185,0.044863,0.21184,2.6321,10.4417,24.6722,High
12.8528,4.0684,37.4902,325.96,Lead-acid,52.2904,0.02391,0.08161,2.4449,43.2357,58.2807,Medium
13.7017,2.281,27.2631,133.47,NiMH,31.2534,0.01351,0.19922,1.1272,72.5848,83.9053,Medium
12.917,1.1757,31.6983,96.95,NiMH,15.1861,0.004473,0.04655,0.6071,89.8919,78.9431,Low
10.7897,8.714,49.3664,422.18,Li-ion,94.0216,0.034611,0.03914,4.7316,22.8349,31.6712,High
10.6709,9.1198,57.3014,372.76,Lead-acid,97.3161,0.03373,0.35317,2.7036,41.1249,36.5785,High
11.0929,7.5871,49.3785,404.58,Li-ion,84.1624,0.039059,0.35064,2.3217,35.3828,34.7583,High
14,1.8524,26.2983,124.67,NiMH,25.9333,0.015001,0.1659,0.2115,74.9306,81.0231,Low
11.7152,4.0996,36.1992,241.11,NiMH,48.0273,0.018215,0.14946,2.1049,62.8574,55.7758,Medium
12.9794,2.2234,26.1584,66.63,Lead-acid,28.8581,0.014004,0.05511,0.9102,60.8836,92.5173,Low
11.5611,9.3544,52.1414,338.61,NiMH,108.148,0.047165,0.40169,2.5795,12.3898,38.05,High
12.056,1.23,34.0718,170.84,NiMH,14.8285,0.012017,0.16465,0.6604,65.6118,76.3211,Low
11.2879,3.5466,46.2686,194.04,NiMH,40.0339,0.022747,0.01,2.2499,58.7364,49.0527,Medium
12.08,5.2558,33.6101,245.02,Lead-acid,63.4899,0.018404,0.10792,0.7963,67.8561,72.0154,Medium
11.5974,5.7139,45.4035,146.94,NiMH,66.266,0.025731,0.0147,1.2232,54.5357,58.0874,Medium
13.767,1.5909,27.1896,141.05,Li-ion,21.9015,0.013278,0.01,0.9389,69.6204,77.4147,Low
12.9969,3.1456,30.0418,58.63,Lead-acid,40.883,0.00233,0.20026,0.5769,93.4478,83.238,Low
11.6033,6.7177,59.8138,422.74,Li-ion,77.9471,0.030458,0.08745,4.0783,39.4738,13.8977,High
13.0148,2.7259,26.7441,10,Li-ion,35.4765,0.004035,0.08478,0.5073,88.9967,81.2531,Low
11.0307,7.8974,52.6066,368.17,Li-ion,87.1143,0.0491,0.31286,4.0277,7.396,28.6983,High
12.9606,1.8975,35.8838,24.11,NiMH,24.5927,0.009682,0.28277,0.9882,83.606,85.2069,Medium
12.9819,5.3691,42.5765,256.73,NiMH,69.702,0.017191,0.13104,2.9658,52.0499,55.7973,Medium
10.7646,7.2623,58.9134,391.0,Li-ion,78.1755,0.040085,0.2776,2.5304,17.5674,21.3955,High
12.6078,3.6485,25.9649,93.01,NiMH,45.9996,0.015729,0.14025,0.4534,67.07,83.9733,Low
11.4504,6.4162,36.6003,352.9,Lead-acid,73.4677,0.014614,0.27072,1.2697,63.6143,61.5189,Medium
11.5543,3.1524,46.5665,322.72,Lead-acid,36.4243,0.020344,0.27846,1.8363,52.8959,55.3941,Medium
12.296,5.4719,42.2095,245.94,Lead-acid,67.2828,0.01778,0.10241,2.3782,57.4756,55.7556,Medium
11.0523,6.5199,53.3549,466.79,NiMH,72.0601,0.038304,0.08095,3.0224,34.802,26.4682,High
12.7497,1.3136,21.3683,60.83,Li-ion,16.7481,0.012631,0.13515,0.0332,63.9661,100,Low
11.1911,5.5123,45.4382,228.68,Li-ion,61.6892,0.014093,0.02171,3.2497,80.0132,50.3781,Medium
13.519,3.0468,33.1508,15.24,NiMH,41.1904,0.010518,0.10605,0.111,85.2059,85.9002,Low
13.1993,3.4878,27.3231,164.57,Lead-acid,46.0367,0.004642,0.04292,0.8015,91.5177,75.6522,Medium
10.5954,7.2379,54.4763,299.95,Lead-acid,76.6884,0.04467,0.20315,4.9819,7.1856,46.0919,High
12.0207,9.0146,54.2552,470.39,Lead-acid,108.3619,0.042924,0.33734,4.1797,11.5006,30.7742,High
13.5849,1.9465,20,36.58,NiMH,26.4426,0.018117,0.03245,0.3563,62.5351,90.8195,Low
12.5177,2.1481,34.4089,182.81,NiMH,26.8888,0.009729,0.27794,0.8393,75.6559,70.5272,Medium
11.5114,4.5007,40.3663,246.89,NiMH,51.8098,0.01992,0.20237,2.2011,54.7428,57.1019,Medium
10.7394,7.7186,51.3009,364.84,NiMH,82.8933,0.036811,0.28588,4.2819,38.0256,26.6884,High
10.0181,8.887,52.2659,468.14,NiMH,89.0312,0.029649,0.07788,4.1477,40.3606,31.2946,High
11.9081,6.3068,57.8807,412.38,NiMH,75.1021,0.046254,0.15824,4.2161,9.7053,29.527,High
12.176,5.1968,42.5026,206.21,Li-ion,63.276,0.012117,0.18029,2.6193,66.7846,62.9409,Medium
13.3291,1.3473,28.1777,95.66,NiMH,17.9583,0.001415,0.22699,0.2196,92.511,74.7618,Medium
10.8027,3.8733,34.8408,232.38,NiMH,41.8416,0.027937,0.02677,1.4162,37.9033,54.8046,Medium
11.4311,8.4524,52.7181,304.65,NiMH,96.6209,0.041305,0.30385,3.7176,28.337,31.0618,High
11.1537,6.0059,46.6493,450.16,Li-ion,66.9885,0.046935,0.02613,2.7081,20.8299,40.5372,High
11.7115,6.262,45.0862,238.92,Li-ion,73.3382,0.017805,0.07147,1.9874,52.614,54.9844,Medium
12.4662,5.666,43.3202,322.97,NiMH,70.6338,0.019355,0.146,1.2623,58.1184,49.2325,Medium
12.7975,1.4838,29.0826,173.38,Lead-acid,18.9892,0.001,0.13962,0.1045,97.5795,79.125,Low
13.4991,0.5,34.5061,39.89,NiMH,6.7495,0.012475,0.05615,0.1489,70.3476,80.4473,Low
10.8658,6.0691,44.9976,294.52,NiMH,65.9453,0.033296,0.02291,5,38.6416,46.0047,High
11.3816,9.352,54.5021,464.84,NiMH,106.4417,0.044828,0.39898,3.9605,18.0391,20.1788,High
10.7852,5.751,56.3644,352.04,Lead-acid,62.0259,0.04458,0.35544,4.7335,12.6764,37.1828,High
11.9407,3.7452,39.7486,275.38,NiMH,44.7202,0.017104,0.11389,1.176,61.3331,51.1066,Medium
